Threads,Run,Time (s)
2,1,0:00.06
2,2,0:00.05
2,3,0:00.05
2,4,0:00.05
2,5,0:00.04
2,6,0:00.04
2,7,0:00.05
2,8,0:00.04
2,9,0:00.04
2,10,0:00.04
4,1,0:00.03
4,2,0:00.02
4,3,0:00.03
4,4,0:00.03
4,5,0:00.03
4,6,0:00.02
4,7,0:00.03
4,8,0:00.02
4,9,0:00.03
4,10,0:00.03
8,1,0:00.02
8,2,0:00.02
8,3,0:00.11
8,4,0:00.02
8,5,0:00.02
8,6,0:00.02
8,7,0:00.02
8,8,0:00.02
8,9,0:00.03
8,10,0:00.08
16,1,0:00.02
16,2,0:00.02
16,3,0:00.04
16,4,0:00.03
16,5,0:00.02
16,6,0:00.17
16,7,0:00.03
16,8,0:00.02
16,9,0:00.22
16,10,0:00.02
32,1,0:00.12
32,2,0:00.05
32,3,0:00.20
32,4,0:00.08
32,5,0:00.16
32,6,0:00.13
32,7,0:00.13
32,8,0:00.14
32,9,0:00.11
32,10,0:00.35
